id,timestamp,country,platform_fee,ai_price,advanced_price,basic_marketing_price,basic_utility_price,user_name,currency,ai_rate_card_price,advanced_rate_card_price,basic_marketing_rate_card_price,basic_utility_rate_card_price,ai_volume,advanced_volume,basic_marketing_volume,basic_utility_volume,bot_ui_manday_rate,custom_ai_manday_rate,bot_ui_mandays,custom_ai_mandays,calculation_id,calculation_route,committed_amount,region,voice_notes_price,voice_notes_model,voice_notes_rate,channel_type,voice_mandays,voice_dev_cost,voice_platform_fee,whatsapp_setup_fee,pstn_inbound_ai_minutes,pstn_inbound_committed,pstn_outbound_ai_minutes,pstn_outbound_committed,pstn_manual_minutes,pstn_manual_committed,whatsapp_voice_outbound_minutes,whatsapp_voice_inbound_minutes,voice_cost_pstn_inbound,voice_cost_pstn_outbound,voice_cost_pstn_manual,voice_cost_wa_outbound,voice_cost_wa_inbound,voice_total_cost,ai_agent_model,ai_agent_complexity
813,2026-01-06 06:32:52.204707,India,150000.0,1.0,0.45,0.15,0.03,Adwit-test,₹,1.0,0.45,0.15,0.03,10000.0,50000.0,10000.0,10000.0,20000.0,30000.0,4.5,10.0,983f5cc4-d24b-41fb-a260-eb50ee580bf6,volumes,,West,No,,,text_only,,,,,,,,,,,,,,,,,,,ACE Agent Lite Experimental (gpt-5-nano),complex
812,2026-01-06 06:32:08.992331,India,150000.0,1.0,0.45,0.15,0.03,Adwit-test,₹,1.0,0.45,0.15,0.03,10000.0,50000.0,10000.0,10000.0,20000.0,30000.0,4.5,10.0,983f5cc4-d24b-41fb-a260-eb50ee580bf6,volumes,,West,No,,,text_only,,,,,,,,,,,,,,,,,,,ACE Agent Lite Experimental (gpt-5-nano),complex
811,2026-01-06 06:30:48.948151,India,150000.0,1.0,0.45,0.15,0.03,Adwit-test,₹,1.0,0.45,0.15,0.03,10000.0,50000.0,10000.0,10000.0,20000.0,30000.0,4.5,10.0,983f5cc4-d24b-41fb-a260-eb50ee580bf6,volumes,,West,No,,,text_only,,,,,,,,,,,,,,,,,,,ACE Agent Lite Experimental (gpt-5-nano),complex
810,2026-01-06 06:29:58.939664,India,150000.0,1.0,0.45,0.15,0.03,Adwit-test,₹,1.0,0.45,0.15,0.03,10000.0,50000.0,10000.0,10000.0,20000.0,30000.0,4.5,10.0,983f5cc4-d24b-41fb-a260-eb50ee580bf6,volumes,,West,No,,,text_only,,,,,,,,,,,,,,,,,,,ACE Agent Lite Experimental (gpt-5-nano),complex
809,2026-01-06 06:15:17.216896,India,150000.0,1.0,0.45,0.15,0.03,Adwit-test,₹,1.0,0.45,0.15,0.03,10000.0,50000.0,10000.0,10000.0,20000.0,30000.0,4.5,10.0,983f5cc4-d24b-41fb-a260-eb50ee580bf6,volumes,,West,No,,,text_only,,,,,,,,,,,,,,,,,,,ACE Agent Lite Experimental (gpt-5-nano),complex
808,2026-01-06 06:08:26.192470,India,150000.0,1.0,0.45,0.15,0.03,Adwit-test,₹,1.0,0.45,0.15,0.03,10000.0,100000.0,10000.0,10000.0,20000.0,30000.0,13.5,10.0,TANDOORI-LUNCH-2A82063B,volumes,,North,No,,,text_only,,,,,,,,,,,,,,,,,,,,
807,2026-01-06 06:06:48.465216,India,150000.0,5.6323175,0.45,0.15,0.03,Adwit-test,₹,5.6323175,0.45,0.15,0.03,10000.0,50000.0,0.0,0.0,20000.0,30000.0,12.5,20.0,bbd0b61e-98ee-4b03-9e9a-5c8cc6b52172,volumes,,South,No,,,text_only,,,,,,,,,,,,,,,,,,,,
806,2026-01-06 06:05:26.056292,India,150000.0,1.0,0.5,0.15,0.03,Simulation Runner,₹,1.0,0.5,0.15,0.03,0.0,0.0,0.0,0.0,20000.0,30000.0,0.0,0.0,LUNCH-TANDOORI-484A34F6,volumes,,,No,,,voice_only,15.1,453000.0,25500.0,50000.0,12000.0,10000.0,25000.0,20000.0,0.0,0.0,40000.0,10000.0,57000.0,126000.0,0.0,19600.0,600.0,731700.0,,
805,2026-01-06 05:54:53.647905,India,150000.0,1.0,0.45,0.15,0.03,Adwit-test,₹,1.0,0.45,0.15,0.03,10000.0,100000.0,10000.0,10000.0,20000.0,30000.0,9.5,20.0,PLAIN-JANE-LUNCH-9E66746C,volumes,,South,No,,,text_only,,,,,,,,,,,,,,,,,,,,
804,2026-01-05 10:16:14.506210,MENA,2500.0,0.2305,0.0082,0.0041,0.0041,Adwit-test,$,0.2305,0.0082,0.0041,0.0041,5000.0,100000.0,10000.0,10000.0,300.0,500.0,10.5,20.0,PAKORA-TANDOORI-DINNER-63206710,volumes,,UAE,No,,,text_only,,,,,,,,,,,,,,,,,,,,
803,2026-01-05 10:12:28.169870,India,150000.0,1.0,0.45,0.15,0.03,Adwit-test,₹,1.0,0.45,0.15,0.03,10000.0,100000.0,10000.0,10000.0,20000.0,30000.0,10.5,10.0,ROTI-PANEER-DINNER-AD01E63E,volumes,,South,No,,,text_only,,,,,,,,,,,,,,,,,,,,
802,2026-01-05 10:08:04.765343,India,100000.0,1.0,0.45,0.15,0.03,Adwit-test,₹,1.0,0.45,0.15,0.03,10000.0,100000.0,10000.0,10000.0,20000.0,30000.0,10.5,20.0,DINNER-PLAIN-JANE-F92DD516,volumes,,North,No,,,text_only,,,,,,,,,,,,,,,,,,,,
801,2026-01-05 08:49:16.975204,India,150000.0,1.0,0.5,0.15,0.03,Teat User,₹,1.0,0.5,0.15,0.03,10000.0,0.0,0.0,0.0,20000.0,30000.0,3.5,0.0,JALEBI-LUNCH-CHEESE-FEF3D08F,volumes,,,No,,,text_voice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
